Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
MONROE SD,BLOOMINGTON,1/1/2020,2:50 AM,1,0,1,0,0,,,,N CURRY PIKE,,,1000,N,0,0,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NCURRYPIKESTONEBRANCHDR,NONE
ISP BLOOMINGTON 33,CLEAR CREEK,1/1/2020,11:45 AM,2,,0,0,0,,,,E SMITHVILLE RD,S FAIRFAX RD,,0,S,39.071151,-86.503186,LOCAL/CITY ROAD,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,ESMITHVILLERDSFAIRFAXRD,
ISP BLOOMINGTON 33,BLOOMINGTON,1/1/2020,12:10 PM,2,,0,0,0,,Y,116C,I-69 S,W TAPP RD,,0,S,39.14079931,-86.57327764,INTERSTATE,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,116.2I-69,
MONROE SD,ELLETTSVILLE,1/1/2020,1:09 PM,1,0,0,0,0,1724,,,N RIDGEWAY DR,W VALLEY VIEW DR (SE),,,,39.239952,-86.606704,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NRIDGEWAYDRWVALLEYVIEWDR,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,1/1/2020,5:20 PM,1,,0,0,1,,,,I-69 N,,,898,W,39.07097394,-86.66467765,INTERSTATE,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,I-69I69,
ISP BLOOMINGTON 33,BLOOMINGTON,1/2/2020,11:02 AM,2,,0,0,0,,,,W TAPP RD,S PINEHURST DR,,158,E,39.13642356,-86.54956095,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,PINEHURSTDRWTAPPRD,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/2/2020,11:45 AM,2,1,0,0,0,,,,N JORDAN AVE,E 7TH ST,,50,N,39.168944,-86.516016,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,INSECURE/LEAKY LOAD,COLLISION WITH OBJECT IN ROAD,E7THSTNJORDANAVE,NONE
MONROE SD,BLOOMINGTON,1/2/2020,12:47 PM,2,0,0,0,0,,,,SR 45/46,N COLLEGE AVE,,,,39.186352,-86.534704,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,HEAD ON BETWEEN TWO MOTOR VEHICLES,NCOLLEGEAVESR4546BYPASSRD,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,1/2/2020,1:14 PM,1,0,0,0,0,,,,S HARRELL RD,E MOFFETT LN,,,,39.0997,-86.49847,COUNTY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,COLLISION WITH OBJECT IN ROAD,EASTMOFFETTLNSOUTHHARRELLRD,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/2/2020,2:50 PM,2,0,0,0,0,,,,SR 45/46,N KINSER PIKE,,,,39.186544,-86.537888,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NKINSERPIKESR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/3/2020,11:00 AM,2,0,3,0,0,,,,SR 46,KINGSTON DR S,,,,39.16424,-86.492944,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,E3RDSTSKINGSTONAVE,TRAFFIC CONTROL SIGNAL
ISP BLOOMINGTON 33,ELLETTSVILLE,1/3/2020,12:00 PM,1,,0,0,0,,,,N UNION VALLEY RD,W RICHLAND PLAZA DR,,317,S,39.217147,-86.592748,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,,ASPHALT,BRAKE FAILURE OR DEFECTIVE,RAN OFF ROAD,NCRESTWOODDRNUNIONVALLEYRD,
BLOOMINGTON PD,BLOOMINGTON,1/3/2020,12:41 PM,2,0,0,0,0,3500,,,W 3RD ST (WHITEHALL CROSSING),W 3RD ST (WHITEHALL CROSSING),,,,39.16424,-86.4892,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,W3RDST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/3/2020,2:32 PM,2,0,0,0,0,503,,,S MULLER PKWY,,,,,39.16105733,-86.56742117,UNKNOWN,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,SMULLERPKWY,NONE
BLOOMINGTON PD,BLOOMINGTON,1/3/2020,8:52 PM,2,0,0,0,0,,,,SR 48,S CURRY PIKE,,,,39.16464,-86.58296,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SCURRYPIKEW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/4/2020,6:30 AM,2,0,0,0,0,4021,,,SR 48,S CURRY PIKE,,50,W,39.16464,-86.58295567,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,CONCRETE,FOLLOWING TOO CLOSELY,REAR END,SOUTHCURRYPIKEWEST3RDST,NONE
ELLETTSVILLE PD,ELLETTSVILLE,1/4/2020,2:56 PM,2,0,1,0,0,,,,N THOMAS RD,S SALE ST,,,,39.231152,-86.6308,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,BLOWING SAND/SOIL/SNOW,WET,,Y-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,BACKING CRASH,SALESTTHOMASRD,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/4/2020,3:00 PM,2,0,0,0,0,,,,N WALNUT ST,,,100,S,39.16864,-86.533568,LOCAL/CITY ROAD,N,URBAN,Y,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,E7THSTNWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/4/2020,4:37 PM,2,0,2,0,0,,,,S SARE RD,E DAVID DR,,,,39.13857,-86.49656,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EDAVIDDRSSARERD,NONE
