_id,Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
43,BLOOMINGTON PD,BLOOMINGTON,2021-12-23T00:00:00,6:08 PM,2,0,4,0,0,"","","",SR 48,S CURRY PIKE,"",300,E,39.16465,-86.58296497,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ACCELERATOR FAILURE OR DEFECTIVE,LEFT TURN,SCURRYPIKEW3RDST,NONE
44,BLOOMINGTON PD,BLOOMINGTON,2021-12-22T00:00:00,6:36 AM,2,,0,0,0,"","","",I-69 N,W 3RD ST,"",211,"",39.1533118,-86.57300181,INTERSTATE,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,I-69NBMM118118,""
45,BLOOMINGTON PD,BLOOMINGTON,2021-12-22T00:00:00,7:15 AM,2,,0,0,0,"","","",SR 45/46,N MONROE ST,"",300,"",39.18700396,-86.54881537,"","",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,STATERD46NORTHMONROEST.,""
46,MONROE SD,BLOOMINGTON,2021-12-22T00:00:00,7:40 AM,1,0,0,0,1,"","","",SR 446,S SWARTZ RIDGE RD,"",,"",39.1316,-86.447968,STATE ROAD,N,RURAL,N,Y,N,"",DAWN/DUSK,CLEAR,DRY,"",T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,SSWARTZRDGSR446S,NONE
47,ISP BLOOMINGTON 33,BLOOMINGTON,2021-12-22T00:00:00,2:06 PM,2,,0,0,0,"","","",I-69 S,"","",0,"",39.27350981,-86.5235324,INTERSTATE,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,I-69125,""
48,BLOOMINGTON PD,BLOOMINGTON,2021-12-22T00:00:00,6:40 PM,2,,0,0,0,219,"","",E 17TH ST,"","",0,"",39.17895145,-86.53153307,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,IMPROPER TURNING,LEFT TURN,219EAST17TH,""
49,BLOOMINGTON PD,BLOOMINGTON,2021-12-22T00:00:00,7:02 PM,2,,0,0,0,"","","",S HENDERSON ST,E HILLSIDE DR,"",0,"",39.15057239,-86.52693703,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SHENDERSONSTEHILLSIDEDR,""
50,MONROE SD,BLOOMINGTON,2021-12-22T00:00:00,7:26 PM,1,0,0,0,0,"","","",N SHUFFLE CREEK RD,"","",1000,N,39.229952,-86.416096,LOCAL/CITY ROAD,Y,RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,LEFT OF CENTER,"",NSHUFFLECREEKRDSR45E,NONE
51,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2021-12-21T00:00:00,9:27 AM,2,0,0,0,0,"","","",E KIRKWOOD AVE,UNIVERSITY AVE,"",180,E,39.16685,-86.52162657,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,LEFT/RIGHT TURN,EKIRKWOODAVENFORRESTAVE,NONE
52,ISP BLOOMINGTON 33,ELLETTSVILLE,2021-12-21T00:00:00,12:31 PM,3,,0,0,0,"","","",SR 46,N OUTBACK RD,"",0,"",39.21523516,-86.59283546,STATE ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SR46NOUTBACKDRIVE,""
53,BLOOMINGTON PD,BLOOMINGTON,2021-12-21T00:00:00,12:36 PM,1,0,1,0,0,"","","",E MOORES PIKE,S OLCOTT BLVD,"",,"",39.150186,-86.484993,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EMOORESPIKESOLCOTTBLVD,LANE CONTROL
54,BLOOMINGTON PD,BLOOMINGTON,2021-12-21T00:00:00,3:12 PM,2,,0,0,0,"","","",I-69,"","",0,"",0,0,INTERSTATE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,69117,""
55,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2021-12-21T00:00:00,3:30 PM,2,0,2,0,0,"","","",S HENDERSON ST,E ATWATER AVE,"",,"",39.163149,-86.5272662,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,ATWATERAVEHENDERSONST,TRAFFIC CONTROL SIGNAL
56,BLOOMINGTON PD,BLOOMINGTON,2021-12-21T00:00:00,3:49 PM,2,,0,0,0,"","","",S HENDERSON ST,E GRAHAM DR,"",0,"",39.13946178,-86.52698299,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SHENDERSONSTEGRAHAMDR,""
57,BLOOMINGTON PD,BLOOMINGTON,2021-12-21T00:00:00,5:03 PM,2,,0,0,0,"","","",S SARE RD,E CANADA DR,"",0,"",39.12671513,-86.50424228,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SSARERDECANADADR,""
58,BLOOMINGTON PD,BLOOMINGTON,2021-12-20T00:00:00,4:24 AM,3,,0,0,0,"","","",SR 45/46,N DUNN ST,"",0,"",39.18623654,-86.52762598,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,STATERD45NDUNNST,""
59,BLOOMINGTON PD,BLOOMINGTON,2021-12-20T00:00:00,7:39 AM,2,,0,0,0,"","","",W BLOOMFIELD RD,"","",0,"",0,0,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WBLOOMFIELDRD,""
60,ISP BLOOMINGTON 33,BLOOMINGTON,2021-12-20T00:00:00,11:18 AM,2,,0,0,0,"","","",N CURRY PIKE,W JONATHAN DR,"",0,"",39.16836344,-86.58291668,COUNTY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,JONATHANDRIVECURRYPIKE,""
61,ELLETTSVILLE PD,ELLETTSVILLE,2021-12-20T00:00:00,2:02 PM,2,0,0,0,0,"","","",N MATTHEWS DR,W MCNEELY ST,"",,"",39.2382122,-86.6238869,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,MATTHEWSDRMCNEELYST,NONE
